  c =    0.100000000000000E+03
                             0.249325956380826E+00     0.701551357212018E+01  12
    70.00000000000000       -0.607882110488941E-01    -0.529875515667870E+02
                             0.119673163495374E+01    -0.414837710964471E+02  11
    80.00000000000000       -0.237454125733116E+00    -0.619378952778516E+02
                             0.132909717800667E+01    -0.323630787484464E+02  12
    90.00000000000000       -0.144564211407954E+01     0.000000000000000E+00
                             0.000000000000000E+00    -0.639988056210320E+02  12
 l =     11
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.147491442295948E-11     0.107085387047590E-09
                             0.000000000000000E+00     0.000000000000000E+00   0
    40.00000000000000        0.184670103716739E-06     0.112576897616782E-04
                             0.518033312436746E-07     0.323631232981695E-05   5
    50.00000000000000        0.201957330372554E-02     0.904903717693052E-01
                             0.765718234314937E-03     0.358483349007742E-01   9
    60.00000000000000        0.764136663994271E+00     0.162065730196594E+02
                             0.457572436095101E+00     0.113717910958250E+02  12
    70.00000000000000       -0.122361546172580E+01    -0.365793509240933E+02
                            -0.607882110488945E-01    -0.529875515667870E+02  11
    80.00000000000000       -0.143112138096485E+01    -0.124910972859101E+02
                            -0.237454125733116E+00    -0.619378952778515E+02  12
    90.00000000000000        0.000000000000000E+00     0.666455832420702E+02
                            -0.144564211407954E+01     0.000000000000000E+00  12
 l =     12
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.631701321200254E-11     0.452930089340714E-09
                             0.146816630815358E-11     0.107130030531064E-09   1
    40.00000000000000        0.622467051318253E-06     0.369875970461640E-04
                             0.184670114375557E-06     0.112576898326968E-04   6
    50.00000000000000        0.499613574828932E-02     0.213442150234373E+00
                             0.201957330371670E-02     0.904903717689984E-01  10
    60.00000000000000        0.115704334516076E+01     0.197558359621367E+02
                             0.764136663994220E+00     0.162065730196595E+02  12
    70.00000000000000       -0.161978217179705E+01     0.526765273045209E+01
                            -0.122361546172586E+01    -0.365793509240935E+02  12
    80.00000000000000       -0.746866108221092E+00     0.561491825925552E+02
                            -0.143112138096485E+01    -0.124910972859102E+02  12
    90.00000000000000        0.137790010818909E+01     0.000000000000000E+00
                             0.000000000000000E+00     0.666455832420710E+02  12
 l =     13
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.258829711808069E-10     0.182198488632195E-08
                             0.631786579011192E-11     0.452924125195400E-09   1
    40.00000000000000        0.198993283869472E-05     0.115119002285585E-03
                             0.622467049872394E-06     0.369875970466554E-04   6
    50.00000000000000        0.116186969027694E-01     0.471148440653760E+00
                             0.499613574829159E-02     0.213442150234421E+00  10
    60.00000000000000        0.157656912076679E+01     0.192690366019396E+02
                             0.115704334516076E+01     0.197558359621367E+02  12
    70.00000000000000       -0.953753308091542E+00     0.481144925740172E+02
                            -0.161978217179704E+01     0.526765273045178E+01  12
    80.00000000000000        0.883014639200302E+00     0.512627057518363E+02
                            -0.746866108221094E+00     0.561491825925550E+02  12
    90.00000000000000        0.000000000000000E+00    -0.688601114328837E+02
                             0.137790010818909E+01     0.000000000000000E+00  12
 l =     14
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.101230154179181E-09     0.699238485942578E-08
                             0.258826447224369E-10     0.182198859242509E-08   2
    40.00000000000000        0.604845980400569E-05     0.340213649626669E-03
                             0.198993283910003E-05     0.115119002292368E-03   7
    50.00000000000000        0.254384270675127E-01     0.973850447163348E+00
                             0.116186969027692E-01     0.471148440653748E+00  10
    60.00000000000000        0.190609290731902E+01     0.118602484049354E+02
                             0.157656912076679E+01     0.192690366019396E+02  12
    70.00000000000000        0.354127988565503E+00     0.589808638315889E+02
                            -0.953753308091544E+00     0.481144925740172E+02  12
    80.00000000000000        0.126723199019930E+01    -0.250524009881677E+02
                             0.883014639200302E+00     0.512627057518363E+02  12
    90.00000000000000       -0.132162111132583E+01     0.000000000000000E+00
                             0.000000000000000E+00    -0.688601114328838E+02  12
 l =     15
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.378808264149181E-09     0.256596201260664E-07
                             0.101230283815656E-09     0.699238933954377E-08   2
    40.00000000000000        0.175155075652036E-04     0.956526303697379E-03
                             0.604845980381946E-05     0.340213649623513E-03   7
    50.00000000000000        0.524828706320902E-01     0.188420456885030E+01
                             0.254384270675128E-01     0.973850447163352E+00  11
    60.00000000000000        0.199037182670730E+01    -0.374841297250536E+01
                             0.190609290731902E+01     0.118602484049353E+02  11
    70.00000000000000        0.134554101402458E+01     0.238158733550623E+02
                             0.354127988565503E+00     0.589808638315889E+02  12
    80.00000000000000       -0.889496205398847E-01    -0.686982859451575E+02
                             0.126723199019930E+01    -0.250524009881677E+02  11
    90.00000000000000        0.000000000000000E+00     0.707409133136740E+02
                            -0.132162111132583E+01     0.000000000000000E+00  12
 l =     16
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.135890724065037E-08     0.902089774655323E-07
                             0.378808596109518E-09     0.256596147689598E-07   3
    40.00000000000000        0.484057436501815E-04     0.256233876919403E-02
                             0.175155075648102E-04     0.956526303689578E-03   8
    50.00000000000000        0.102060226520682E+00     0.340751044873066E+01
                             0.524828706320912E-01     0.188420456885032E+01  11
    60.00000000000000        0.169162306408874E+01    -0.251587029300985E+02
                             0.199037182670730E+01    -0.374841297250536E+01  11
    70.00000000000000        0.122705763181749E+01    -0.336747567531973E+02
                             0.134554101402458E+01     0.238158733550623E+02  12
    80.00000000000000       -0.127255006313920E+01    -0.152697445418017E+02
                            -0.889496205398844E-01    -0.686982859451574E+02  11
    90.00000000000000        0.127350048538433E+01     0.000000000000000E+00
                             0.000000000000000E+00     0.707409133136740E+02  12
 l =     17
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.468108100232900E-08     0.304318787437077E-06
                             0.135890624752608E-08     0.902089135986905E-07   3
    40.00000000000000        0.127835936657618E-03     0.654746286000045E-02
                             0.484057436528041E-04     0.256233876928275E-02   8
    50.00000000000000        0.187002044557124E+00     0.574373525319547E+01
                             0.102060226520672E+00     0.340751044873040E+01  11
    60.00000000000000        0.973645737968002E+00    -0.452588932362810E+02
                             0.169162306408874E+01    -0.251587029300984E+02  12
    70.00000000000000        0.816396214441816E-01    -0.649320462391677E+02
                             0.122705763181751E+01    -0.336747567531974E+02  11
    80.00000000000000       -0.624210655435830E+00     0.618933549368498E+02
                            -0.127255006313921E+01    -0.152697445418019E+02  12
    90.00000000000000        0.000000000000000E+00    -0.723528584604059E+02
                             0.127350048538435E+01     0.000000000000000E+00  12
 l =     18
     0.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    10.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    20.00000000000000        0.000000000000000E+00     0.000000000000000E+00
                             0.000000000000000E+00     0.000000000000000E+00   0
    30.00000000000000        0.155062975613493E-07     0.986471038469148E-06
                             0.468108077635541E-08     0.304318790713124E-06   4
    40.00000000000000        0.322964283962978E-03     0.159724351292962E-01
