  c = i times   0.10000000000000E+03
 l =      0
    30.00000000000000       -0.15037799016371E+01    -0.10611130885910E+02
                            -0.13159652283002E+01     0.29694703532290E+02  12
    40.00000000000000        0.79259697676055E+00     0.16907300655108E+02
                             0.11210157770305E+01     0.19625776140170E+02  12
    50.00000000000000        0.18101130065266E-02     0.82863639874432E-01
                             0.40193878125826E-02     0.17625543659908E+00  10
    60.00000000000000        0.15201709885413E-06     0.92376542654716E-05
                             0.45076440040186E-06     0.26733559760103E-04   5
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.55693200603693E-11     0.38671621503373E-09   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =     22
     0.00000000000000        0.11602500600176E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.74937337050163E+02  12
    10.00000000000000        0.25859935663917E+00    -0.72351366706989E+02
                            -0.11994032942480E+01     0.17876305417326E+01  11
    20.00000000000000       -0.11599589216117E+01     0.27534693530958E+02
                             0.10032636846131E+01     0.42245944137161E+02  12
    30.00000000000000        0.46872741507928E+00    -0.57756455059415E+02
                            -0.13159652283002E+01     0.29694703532290E+02  12
    40.00000000000000       -0.14679701527561E+01    -0.19238384219691E+02
                             0.11210157770305E+01     0.19625776140170E+02  12
    50.00000000000000       -0.85540951301429E-02    -0.35804451499419E+00
                             0.40193878125811E-02     0.17625543659908E+00  10
    60.00000000000000       -0.12903232613558E-05    -0.74608800893869E-04
                             0.45076440073027E-06     0.26733559778953E-04   6
    70.00000000000000       -0.20230366049071E-10    -0.13789834860233E-08
                             0.55696925441468E-11     0.38670320192217E-09   1
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =     23
     0.00000000000000        0.11602500600176E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.75966012236066E+02  12
    10.00000000000000        0.25859935663917E+00    -0.72351366706989E+02
                            -0.10463931387928E+01    -0.32584727449321E+02  12
    20.00000000000000       -0.11599589216117E+01     0.27534693530958E+02
                            -0.11168891659311E+00     0.70100378165388E+02  11
    30.00000000000000        0.46872741507928E+00    -0.57756455059415E+02
                            -0.61154590222787E+00    -0.54870516405228E+02  12
    40.00000000000000       -0.14679701527561E+01    -0.19238384219691E+02
                            -0.17608980142288E+01    -0.13795901781892E+02  12
    50.00000000000000       -0.85540951301428E-02    -0.35804451499419E+00
                            -0.17446378762174E-01    -0.69410450515402E+00  10
    60.00000000000000       -0.12903232614875E-05    -0.74608800901617E-04
